Data,Hora,Tipo de ordem,Quantidade,Moeda,Quantidade USDT,Preco de compra,Preco de venda,Lucro/prejuizo,Variacao,Intervalo,Taxa de negociacao,Saldo USDT,Saldo final
2024-02-11,01:50:15,Compra,157.9012690434081,OMUSDT,50.89,0.32229,,,10.75,00:29:59,0.0,966.99,1017.88
2024-02-11,02:20:16,Venda,157.9012690434081,OMUSDT,50.73,0.32229,0.32129,-0.1600000000000037,-0.31,00:30:01,0.0,1017.72,1017.72
2024-02-11,09:30:14,Compra,145.69138276553107,POWRUSDT,50.89,0.3493,,,10.56,00:59:59,0.0,966.83,1017.72
2024-02-11,11:15:14,Venda,145.69138276553107,POWRUSDT,56.73,0.3493,0.3894,5.839999999999996,10.30,01:45:00,0.0,1023.56,1023.56
2024-02-11,11:15:17,Compra,75.67647493715806,HIFIUSDT,51.18,0.6763,,,10.96,00:59:59,0.0,972.38,1023.56
2024-02-11,11:20:15,Venda,75.67647493715806,HIFIUSDT,50.14,0.6763,0.6625,-1.0399999999999991,-2.08,00:04:58,0.0,1022.52,1022.52
2024-02-11,12:30:14,Compra,212.51039068994183,WRXUSDT,51.13,0.2406,,,10.10,00:15:00,0.0,971.39,1022.52
2024-02-11,12:50:15,Venda,212.51039068994183,WRXUSDT,53.68,0.2406,0.2526,2.549999999999997,4.75,00:20:01,0.0,1025.07,1025.07
2024-02-11,16:10:16,Compra,403.54330708661416,ACAUSDT,51.25,0.127,,,12.13,01:00:01,0.0,973.82,1025.0700000000002
2024-02-11,16:30:14,Venda,403.54330708661416,ACAUSDT,52.06,0.127,0.129,0.8100000000000023,1.55,00:19:58,0.0,1025.88,1025.88
