Data,Hora,Tipo de ordem,Quantidade,Moeda,Quantidade USDT,Preco de compra,Preco de venda,Lucro/prejuizo,Variacao,Intervalo,Taxa de negociacao,Saldo USDT,Saldo final
2024-02-16,00:48:13,Compra,74.62686567164178,BSWUSDT,10,0.134,,,10.22,00:29:59,0.0,22.06,32.06
2024-02-16,01:04:14,Venda,74.62686567164178,BSWUSDT,10.05,0.134,0.1347,0.05000000000000071,0.52,00:16:01,0.0,32.11,32.11
2024-02-16,02:04:14,Compra,96.79605072113058,SKLUSDT,10,0.10331,,,11.05,01:00:00,0.0,22.11,32.11
2024-02-16,02:08:14,Compra,1644.195988161789,VTHOUSDT,10,0.006082,,,11.00,00:59:59,0.0,12.11,31.939999999999998
2024-02-16,02:12:14,Venda,96.79605072113058,SKLUSDT,9.71,0.10331,0.10029,-0.28999999999999915,-3.01,00:08:00,0.0,21.82,31.71
2024-02-16,02:18:14,Venda,1644.195988161789,VTHOUSDT,9.74,0.006082,0.005925,-0.2599999999999998,-2.65,00:10:00,0.0,31.56,31.56
2024-02-16,03:04:14,Compra,31416.902293433868,EPXUSDT,10,0.0003183,,,10.87,00:59:59,0.0,21.56,31.56
2024-02-16,03:16:14,Venda,31416.902293433868,EPXUSDT,9.72,0.0003183,0.0003094,-0.27999999999999936,-2.88,00:12:00,0.0,31.28,31.28
2024-02-16,03:48:14,Compra,0.9615384615384615,LPTUSDT,10,10.4,,,12.79,00:29:59,0.0,21.28,31.28
2024-02-16,04:04:14,Venda,0.9615384615384615,LPTUSDT,9.8,10.4,10.19,-0.1999999999999993,-2.06,00:16:00,0.0,31.08,31.08
2024-02-16,04:20:14,Compra,0.8826125330979699,LPTUSDT,10,11.33,,,10.77,00:10:00,0.0,21.08,31.08
2024-02-16,04:34:14,Venda,0.8826125330979699,LPTUSDT,9.87,11.33,11.18,-0.13000000000000078,-1.34,00:14:00,0.0,30.95,30.95
2024-02-16,04:34:17,Compra,2350.1762632197415,XVGUSDT,10,0.004255,,,10.65,00:59:59,0.0,20.95,30.95
2024-02-16,04:52:14,Venda,2350.1762632197415,XVGUSDT,9.93,0.004255,0.004226,-0.07000000000000028,-0.69,00:17:57,0.0,30.88,30.88
2024-02-16,05:08:14,Compra,0.8012820512820512,LPTUSDT,10,12.48,,,10.18,00:30:00,0.0,20.88,30.88
2024-02-16,05:12:14,Venda,0.8012820512820512,LPTUSDT,9.73,12.48,12.14,-0.2699999999999996,-2.80,00:04:00,0.0,30.61,30.61
2024-02-16,05:28:14,Compra,42.42681374628766,AUDIOUSDT,10,0.2357,,,11.29,01:00:00,0.0,20.61,30.61
2024-02-16,05:32:14,Venda,42.42681374628766,AUDIOUSDT,10.06,0.2357,0.237,0.0600000000000005,0.55,00:04:00,0.0,30.67,30.67
2024-02-16,06:30:15,Compra,24.665778698633517,AGIXUSDT,10,0.40542,,,11.46,01:00:01,0.0,20.67,30.67
2024-02-16,06:50:15,Venda,24.665778698633517,AGIXUSDT,10.33,0.40542,0.41898,0.33000000000000007,3.24,00:20:00,0.0,31.0,31.0
2024-02-16,07:50:14,Compra,2.287805994051704,WLDUSDT,10,4.371,,,11.94,00:59:59,0.0,21.0,31.0
2024-02-16,07:56:14,Venda,2.287805994051704,WLDUSDT,9.74,4.371,4.259,-0.2599999999999998,-2.63,00:06:00,0.0,30.74,30.74
2024-02-16,08:04:15,Compra,13.525210993291495,NFPUSDT,10,0.73936,,,11.32,01:00:01,0.0,20.74,30.74
2024-02-16,08:08:15,Venda,13.525210993291495,NFPUSDT,9.78,0.73936,0.72337,-0.22000000000000064,-2.21,00:04:00,0.0,30.52,30.52
2024-02-16,08:30:14,Compra,11.94885888397658,ARKMUSDT,10,0.8369,,,11.81,01:00:00,0.0,20.52,30.52
2024-02-16,08:38:14,Venda,11.94885888397658,ARKMUSDT,9.86,0.8369,0.8253,-0.14000000000000057,-1.41,00:08:00,0.0,30.38,30.38
2024-02-16,08:48:14,Compra,18480.872297172427,T1000SATSUSDT,10,0.0005411,,,10.11,01:00:00,0.0,20.38,30.38
2024-02-16,11:52:29,Venda,18480.872297172427,1000SATSUSDT,9.72,0.0005411,0.000526,-0.27999999999999936,-2.87,03:04:15,0.0,30.1,40.1
2024-02-16,11:52:40,Compra,2.5641025641025643,FORTHUSDT,10,3.9,,,10.23,03:13:15,0.0,20.1,40.1
